KernelID,SMnum,Blocknum,BlockID,SMID,Start_time,End_time
4,2,160,84,0,415339.625000,465339.593750
4,2,160,85,0,415339.625000,465339.593750
4,2,160,86,1,415339.625000,465339.593750
4,2,160,87,1,415339.625000,465339.593750
4,2,160,88,0,415339.625000,465339.593750
4,2,160,89,0,415339.625000,465339.593750
4,2,160,90,1,415339.625000,465339.593750
4,2,160,91,0,415339.625000,465339.593750
4,2,160,92,1,415339.625000,465339.593750
4,2,160,93,1,415339.625000,465339.593750
4,2,160,94,0,415339.625000,465339.593750
4,2,160,95,0,415339.625000,465339.593750
4,2,160,96,0,465339.718750,515339.687500
4,2,160,97,0,465339.718750,515339.687500
4,2,160,98,0,465339.718750,515339.687500
4,2,160,99,1,465339.718750,515339.687500
4,2,160,100,1,465339.718750,515339.687500
4,2,160,101,0,465339.718750,515339.687500
4,2,160,102,1,465339.718750,515339.687500
4,2,160,103,1,465339.718750,515339.687500
4,2,160,104,0,465339.718750,515339.687500
4,2,160,105,1,465339.718750,515339.687500
4,2,160,106,1,465339.718750,515339.687500
4,2,160,107,0,465339.718750,515339.687500
4,2,160,108,1,465339.718750,515339.750000
4,2,160,109,0,465339.718750,515339.750000
4,2,160,110,1,465339.718750,515339.750000
4,2,160,111,1,465339.718750,515339.750000
4,2,160,112,0,465339.718750,515339.750000
4,2,160,113,0,465339.718750,515339.750000
4,2,160,114,1,465339.718750,515339.750000
4,2,160,115,1,465339.718750,515339.750000
4,2,160,116,0,465339.718750,515339.750000
4,2,160,117,0,465339.718750,515339.750000
4,2,160,118,0,465339.718750,515339.750000
4,2,160,119,0,465339.718750,515339.750000
4,2,160,120,1,465339.718750,515339.750000
4,2,160,121,1,465339.718750,515339.750000
4,2,160,122,1,465339.718750,515339.750000
4,2,160,123,0,465339.718750,515339.750000
4,2,160,124,0,465339.718750,515339.750000
4,2,160,125,1,465339.718750,515339.750000
4,2,160,126,1,465339.718750,515339.750000
4,2,160,127,0,465339.718750,515339.750000
4,2,160,128,1,515339.812500,565339.812500
4,2,160,129,0,515339.812500,565339.812500
4,2,160,130,0,515339.812500,565339.812500
4,2,160,131,1,515339.812500,565339.812500
4,2,160,132,0,515339.812500,565339.812500
4,2,160,133,1,515339.812500,565339.812500
4,2,160,134,0,515339.812500,565339.812500
4,2,160,135,0,515339.812500,565339.812500
4,2,160,136,0,515339.812500,565339.812500
4,2,160,137,1,515339.812500,565339.812500
4,2,160,138,1,515339.812500,565339.812500
4,2,160,139,0,515339.812500,565339.812500
4,2,160,140,0,515339.812500,565339.812500
4,2,160,141,1,515339.812500,565339.812500
4,2,160,142,1,515339.812500,565339.812500
4,2,160,143,1,515339.812500,565339.812500
4,2,160,144,0,515339.812500,565339.812500
4,2,160,145,0,515339.812500,565339.812500
4,2,160,146,1,515339.812500,565339.812500
4,2,160,147,1,515339.812500,565339.812500
4,2,160,148,1,515339.812500,565339.812500
4,2,160,149,1,515339.812500,565339.812500
4,2,160,150,1,515339.812500,565339.812500
4,2,160,151,0,515339.812500,565339.812500
4,2,160,152,0,515339.812500,565339.812500
4,2,160,153,1,515339.812500,565339.812500
4,2,160,154,0,515339.812500,565339.812500
4,2,160,155,0,515339.812500,565339.812500
4,2,160,156,1,515339.812500,565339.812500
4,2,160,157,0,515339.812500,565339.812500
4,2,160,158,1,515339.812500,565339.812500
4,2,160,159,0,515339.843750,565339.812500
5,2,240,0,0,565340.125000,615340.125000
5,2,240,1,0,565340.125000,615340.125000
5,2,240,2,1,565340.125000,615340.125000
5,2,240,3,1,565340.125000,615340.125000
5,2,240,4,0,565340.125000,615340.125000
5,2,240,5,0,565340.125000,615340.125000
5,2,240,6,1,565340.125000,615340.125000
5,2,240,7,1,565340.125000,615340.125000
5,2,240,8,0,565340.125000,615340.125000
5,2,240,9,0,565340.125000,615340.125000
5,2,240,10,1,565340.125000,615340.125000
5,2,240,11,1,565340.125000,615340.125000
5,2,240,12,0,565340.125000,615340.125000
5,2,240,13,0,565340.125000,615340.125000
5,2,240,14,1,565340.125000,615340.125000
5,2,240,15,1,565340.125000,615340.125000
5,2,240,16,0,565340.125000,615340.125000
5,2,240,17,0,565340.125000,615340.125000
5,2,240,18,1,565340.125000,615340.125000
5,2,240,19,1,565340.125000,615340.125000
5,2,240,20,0,565340.125000,615340.125000
5,2,240,21,0,565340.125000,615340.125000
5,2,240,22,1,565340.125000,615340.125000
5,2,240,23,1,565340.125000,615340.125000
5,2,240,24,0,565340.125000,615340.125000
5,2,240,25,0,565340.125000,615340.125000
5,2,240,26,1,565340.125000,615340.125000
5,2,240,27,1,565340.125000,615340.125000
5,2,240,28,0,565340.125000,615340.125000
5,2,240,29,0,565340.125000,615340.125000
5,2,240,30,1,565340.125000,615340.125000
5,2,240,31,1,565340.125000,615340.125000
5,2,240,32,1,615340.250000,665340.250000
5,2,240,33,0,615340.250000,665340.250000
5,2,240,34,1,615340.250000,665340.250000
5,2,240,35,0,615340.250000,665340.250000
5,2,240,36,1,615340.250000,665340.250000
5,2,240,37,1,615340.250000,665340.250000
5,2,240,38,0,615340.250000,665340.250000
5,2,240,39,0,615340.250000,665340.250000
5,2,240,40,0,615340.250000,665340.250000
5,2,240,41,1,615340.250000,665340.250000
5,2,240,42,1,615340.250000,665340.250000
5,2,240,43,1,615340.250000,665340.250000
5,2,240,44,0,615340.250000,665340.250000
5,2,240,45,0,615340.250000,665340.250000
5,2,240,46,1,615340.250000,665340.250000
5,2,240,47,1,615340.250000,665340.250000
5,2,240,48,1,615340.250000,665340.250000
5,2,240,49,0,615340.250000,665340.250000
