Index,Exec_time,addr,GPU_addr
254,14900.705078,0x7f1d90000000,0x7f1c8e000000
255,14901.374023,0x7fe59a000000,0x7fe498000000
256,15009.083984,0x7f8162000000,0x7f8060000000
257,15014.008789,0x7f058a000000,0x7f0482000000
258,15012.319336,0x7f1964000000,0x7f1862000000
259,15012.279297,0x7f3870000000,0x7f3768000000
260,14949.424805,0x7f34ce000000,0x7f33ca000000
261,15009.286133,0x7fa85a000000,0x7fa758000000
262,14900.265625,0x7f0262000000,0x7f015a000000
263,15012.882812,0x7f3884000000,0x7f3782000000
264,14950.815430,0x7f62ea000000,0x7f61e2000000
265,15012.482422,0x7f0b5a000000,0x7f0a58000000
266,14900.369141,0x7fa2fe000000,0x7fa1fc000000
267,14899.697266,0x7f98da000000,0x7f97d8000000
268,15010.970703,0x7fcd72000000,0x7fcc70000000
269,14902.264648,0x7f5330000000,0x7f522e000000
270,14900.912109,0x7f1d40000000,0x7f1c3e000000
271,15014.888672,0x7f3f32000000,0x7f3e2e000000
272,14949.238281,0x7fcce2000000,0x7fcbe0000000
273,15010.318359,0x7fd942000000,0x7fd83e000000
274,14902.056641,0x7f755a000000,0x7f7452000000
275,15009.743164,0x7fa9da000000,0x7fa8d8000000
276,15011.630859,0x7f86da000000,0x7f85d6000000
277,15015.734375,0x7fbeda000000,0x7fbdd8000000
278,15009.289062,0x7fa404000000,0x7fa300000000
279,15009.862305,0x7f6552000000,0x7f644a000000
280,14948.059570,0x7f0f94000000,0x7f0e94000000
281,14903.846680,0x7f4a74000000,0x7f4972000000
282,15011.487305,0x7f4124000000,0x7f4024000000
283,15010.735352,0x7f65a4000000,0x7f649c000000
284,14901.475586,0x7f2504000000,0x7f23fc000000
285,15011.242188,0x7f94aa000000,0x7f93a6000000
286,14900.260742,0x7f314a000000,0x7f3048000000
287,15009.210938,0x7fb15c000000,0x7fb05a000000
288,15012.006836,0x7f695e000000,0x7f685c000000
289,14901.917969,0x7fa8b0000000,0x7fa7ac000000
290,15010.967773,0x7f4b3a000000,0x7f4a38000000
291,15011.458984,0x7f4c32000000,0x7f4b30000000
292,15008.823242,0x7fc74a000000,0x7fc646000000
293,15009.816406,0x7f3072000000,0x7f2f6e000000
294,15013.706055,0x7f9eaa000000,0x7f9da2000000
295,15011.083008,0x7fc5dc000000,0x7fc4da000000
296,14901.627930,0x7fd020000000,0x7fcf1e000000
297,15013.163086,0x7f1240000000,0x7f1138000000
298,15010.451172,0x7f5b70000000,0x7f5a6c000000
299,14901.102539,0x7f884e000000,0x7f874c000000
300,15011.974609,0x7f3584000000,0x7f347c000000
301,14901.800781,0x7faa98000000,0x7fa996000000
302,14950.029297,0x7f6342000000,0x7f623a000000
303,15013.917969,0x7f6c84000000,0x7f6b80000000
304,15009.713867,0x7fadc2000000,0x7facc0000000
305,14900.447266,0x7f2faa000000,0x7f2ea6000000
306,15012.960938,0x7fea92000000,0x7fe990000000
307,15012.799805,0x7f1b74000000,0x7f1a72000000
308,14949.278320,0x7ff474000000,0x7ff372000000
309,14901.952148,0x7f2750000000,0x7f2648000000
310,14952.929688,0x7f3c3c000000,0x7f3b3a000000
311,15010.258789,0x7ff0ae000000,0x7fefac000000
312,14901.325195,0x7f3712000000,0x7f3610000000
313,15012.934570,0x7f3ee4000000,0x7f3de0000000
314,14951.005859,0x7ff7a0000000,0x7ff69e000000
315,15012.957031,0x7f50a0000000,0x7f4f9e000000
316,15018.434570,0x7fb2c2000000,0x7fb1ba000000
317,14900.798828,0x7f8fe0000000,0x7f8edc000000
318,14948.003906,0x7f255a000000,0x7f2452000000
319,14951.047852,0x7efb9c000000,0x7efa94000000
320,14951.718750,0x7f9f2a000000,0x7f9e28000000
321,14902.758789,0x7fe2a4000000,0x7fe1a0000000
322,14950.575195,0x7fcf74000000,0x7fce72000000
323,14901.202148,0x7fe6be000000,0x7fe5b6000000
324,15009.854492,0x7f4430000000,0x7f432e000000
325,15008.264648,0x7f3bfa000000,0x7f3af8000000
326,14900.601562,0x7fc622000000,0x7fc520000000
327,15011.321289,0x7f28e2000000,0x7f27da000000
328,15010.180664,0x7f0aa4000000,0x7f09a0000000
329,15015.193359,0x7fd330000000,0x7fd22e000000
330,14899.940430,0x7fcdb4000000,0x7fccb0000000
331,14948.001953,0x7f51d0000000,0x7f50c8000000
332,15010.536133,0x7f5242000000,0x7f513a000000
333,15013.380859,0x7f5908000000,0x7f5806000000
334,14950.474609,0x7fd564000000,0x7fd462000000
335,14954.126953,0x7f25d4000000,0x7f24d0000000
336,14901.055664,0x7f06a2000000,0x7f05a0000000
337,15009.945312,0x7f37b2000000,0x7f36b0000000
338,14902.921875,0x7ff694000000,0x7ff592000000
339,14901.540039,0x7f918e000000,0x7f9086000000
340,14901.815430,0x7f6484000000,0x7f6380000000
341,15011.968750,0x7f6fb0000000,0x7f6eae000000
342,14901.045898,0x7fa9ba000000,0x7fa8b2000000
343,14901.018555,0x7f36b2000000,0x7f35b0000000
344,14902.498047,0x7f3834000000,0x7f3732000000
345,15011.254883,0x7f996c000000,0x7f9864000000
346,14951.229492,0x7fe658000000,0x7fe556000000
347,15013.349609,0x7f07a4000000,0x7f06a0000000
348,14950.198242,0x7fa874000000,0x7fa772000000
349,14900.250977,0x7f45da000000,0x7f44d8000000
350,15010.909180,0x7f94ac000000,0x7f93a4000000
351,15009.164062,0x7f5554000000,0x7f544c000000
352,14901.259766,0x7f471a000000,0x7f4618000000
353,15014.769531,0x7f538a000000,0x7f5282000000
354,15010.971680,0x7f7974000000,0x7f786c000000
355,14899.292969,0x7f97a2000000,0x7f969a000000
356,15009.560547,0x7ff660000000,0x7ff558000000
357,14900.066406,0x7f4d84000000,0x7f4c84000000
358,15012.001953,0x7fecaa000000,0x7feba8000000
359,14901.783203,0x7fdbb2000000,0x7fdaae000000
360,15011.808594,0x7fac74000000,0x7fab70000000
361,14900.326172,0x7fa4f2000000,0x7fa3f0000000
362,15011.077148,0x7f2af4000000,0x7f29f2000000
363,15010.148438,0x7fc1ca000000,0x7fc0c2000000
364,14901.582031,0x7f68a2000000,0x7f67a0000000
365,15017.122070,0x7fe9a4000000,0x7fe8a0000000
366,14901.123047,0x7efcba000000,0x7efbb6000000
367,15010.956055,0x7fa79e000000,0x7fa696000000
368,14902.129883,0x7fa85a000000,0x7fa758000000
369,14900.445312,0x7f4bda000000,0x7f4ad8000000
370,14900.260742,0x7fab0a000000,0x7faa08000000
371,14950.803711,0x7f8f8a000000,0x7f8e88000000
372,15014.229492,0x7fb8f0000000,0x7fb7e8000000
373,14950.962891,0x7f33a0000000,0x7f329e000000
374,15009.194336,0x7fc634000000,0x7fc52c000000
375,14902.653320,0x7f2c62000000,0x7f2b60000000
376,14900.755859,0x7f514a000000,0x7f5048000000
