ID,Exec_time,Random_num
548,346.196564,405621931
549,345.744873,336794156
550,346.233002,326733897
551,346.245148,201030963
552,345.865906,193345609
553,346.304565,605181444
554,346.231781,547153180
555,345.791748,695895578
556,346.384033,52091068
557,346.240845,542297725
558,345.816772,444820316
559,346.263977,142840278
560,345.708832,610299509
561,346.167389,150098901
562,346.252563,229358726
563,345.744629,438915273
564,346.232025,87833202
565,346.248291,669578531
566,345.157196,768323032
567,346.255859,196359636
568,346.281128,665776131
569,345.152283,619855352
570,346.254059,585149989
571,346.254303,494215418
572,345.723785,471122150
573,346.241272,279554212
574,346.223938,346309733
575,345.844940,354035500
576,346.162445,801498781
577,346.253723,150441484
578,345.726959,783520757
579,346.262909,128222599
580,346.245697,61199970
581,346.280670,512482412
582,346.274780,744962828
583,345.696503,137219033
584,346.181396,371035843
585,346.448303,359249972
586,345.749359,32136858
587,346.310791,208502292
588,346.298248,97510269
589,345.968445,375444219
590,346.513153,436469619
591,346.270203,606408201
592,345.741669,600726954
593,346.241608,628094985
594,346.439117,209458858
595,345.792969,333882052
596,346.286011,485205854
597,346.250732,657369004
598,345.867188,257702134
599,346.242279,366739671
600,346.232117,686616918
601,345.756958,730911468
602,346.243164,655496887
603,346.220917,368523628
604,346.331635,241516686
605,346.294952,763088967
606,345.740417,59083990
607,346.198090,182551237
608,346.243134,271948191
609,345.734955,728616025
610,346.187256,460399425
611,346.272522,650981807
612,345.775513,762510308
613,346.246002,285234068
614,346.254822,227526565
615,345.847595,167935761
616,346.291382,463216889
617,346.259949,724221998
618,344.254944,167252928
619,346.197418,319772500
620,346.226074,215685247
621,345.781158,99267346
622,345.854218,469245228
623,346.254944,23200500
624,345.719666,746716798
625,346.215179,676869522
626,346.218231,41527794
627,345.643890,307651408
628,346.205902,323983290
629,345.764221,119551263
630,346.257874,412438419
631,346.316498,549366794
632,346.365692,473952635
633,346.978455,161030905
634,346.396759,187611697
635,345.849823,91299684
636,346.426849,523535449
637,346.467987,411339091
638,345.891785,121548242
639,345.984039,450859473
640,346.492279,638452703
641,345.857605,11785973
642,346.266602,499712029
643,344.756866,515392
644,346.069122,705717434
645,345.112946,720501784
646,346.250793,693747914
647,345.752472,88584674
648,346.232727,624540303
649,345.710663,517513971
650,346.314178,119911755
651,346.180725,623759066
652,345.726593,756069029
653,346.199310,730841671
654,346.164062,245384517
655,345.833984,423853031
656,346.193329,515184127
657,346.232727,634947331
658,345.771027,414248716
659,345.703156,148468528
660,345.652374,196290160
661,345.849976,379812876
662,346.187378,557450644
663,346.194244,325782877
664,345.806396,56413731
665,346.167999,286842940
666,346.258240,203078869
667,345.797974,543626981
668,346.193787,320310842
669,346.260925,555319433
670,346.184662,251108129
671,345.637695,473112008
672,345.739288,582723489
673,346.186188,519506967
674,346.253113,394906358
675,345.188812,119035000
676,346.232574,402198522
677,346.207275,457774397
678,345.750214,490859922
679,346.215027,119029858
680,346.155243,447835701
681,345.783020,457421251
682,346.200989,490681687
683,346.207550,623519858
684,345.848907,350843282
685,346.181274,561003605
686,346.207764,784664586
687,345.751129,172662009
688,346.320557,770826446
689,346.265503,288556034
690,345.785431,255069574
691,346.255829,267361734
692,346.275421,436787884
693,346.209229,548440279
694,346.211884,428326150
695,345.749573,716780610
696,346.196075,431336795
697,346.213043,625810942
698,345.749268,790172394
699,346.235809,459312097
700,346.260162,468559398
701,345.780609,748995916
702,346.225708,84301612
703,346.289459,382812757
704,345.770599,428942603
705,346.211517,410431898
706,346.207245,158106772
707,345.842926,186511746
708,346.183136,257314299
709,346.269135,427187988
710,345.785187,634589271
711,346.238831,285921521
712,346.273132,126092327
713,345.782349,764149610
714,346.202637,445082295
715,345.725739,414989400
716,346.267670,536115825
717,346.192780,778910141
718,345.806976,639646814
719,346.202362,778121923
720,346.222076,71074980
721,345.205566,358949112
722,346.160828,619120385
723,346.207062,206278522
724,345.747650,535290994
725,346.208282,471281117
726,346.217957,273290588
727,345.777283,744005538
728,346.283386,8370269
729,346.299591,654761345
730,345.901245,412316107
731,346.254059,801712689
732,346.254120,584760539
733,345.758087,603972278
734,346.224792,479912629
735,346.213654,786003757
736,345.856110,766745350
737,346.214478,180412769
738,346.208557,363516985
739,346.246674,104714463
740,346.211182,404601501
741,345.729828,577210724
742,346.235291,137139150
743,346.254578,197332915
744,345.724121,112114919
745,346.209534,547061466
746,346.174805,201590727
747,345.774780,123688733
748,346.260345,450515828
749,346.171112,410445394
750,345.830231,376414850
751,346.259583,358625782
752,346.231689,652125430
753,345.911346,174271634
754,346.247925,758725758
755,346.217316,220008061
756,345.784027,68058886
757,346.210327,81040746
758,346.266693,403625427
759,345.792145,747206804
760,345.676544,177860840
761,345.783966,216976823
762,346.235413,52269073
763,346.247437,721883858
764,345.741119,345924087
765,346.200378,608476582
766,346.254028,797135183
767,345.197784,539721416
768,346.208435,775782437
769,346.250183,596483295
770,345.765228,63318410
771,346.208832,415211650
772,346.216827,254528667
773,345.794464,522009831
774,346.197601,434412405
775,346.204529,204091342
776,345.316742,181471416
777,346.238861,200917137
778,346.512054,117119067
779,345.690308,735738790
780,346.180420,674669701
781,346.282196,398153514
782,345.814026,359002949
783,346.219879,340665247
784,345.727814,156609298
785,345.653015,217048080
786,346.191101,773607211
787,344.286041,213040448
788,346.204926,362752445
789,346.255035,239709439
