No.2/13 | 259:   l2_tex_hit_rate      L2 Cache Hit Rate      99.63%      99.63%      99.63%
No.2/13 | 260:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 261:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 262:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 263:   l2_tex_hit_rate      L2 Cache Hit Rate      98.99%      98.99%      98.99%
No.2/13 | 264:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 265:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 266:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 267:   l2_tex_hit_rate      L2 Cache Hit Rate      99.00%      99.00%      99.00%
No.2/13 | 268:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 269:   l2_tex_hit_rate      L2 Cache Hit Rate      98.99%      98.99%      98.99%
No.2/13 | 270:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 271:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 272:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 273:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 274:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
